amstradcpc|CPC
atari2600|Atari 2600
atari7800|Atari 7800
atarist|Atari ST
cavestory|PC Windows
fba|Mame
fba_libretro|Mame
fds|Family Computer Disk System
gamegear|Game Gear
gb|Game Boy
gba|Game Boy Advance
gbc|Game Boy Color
gw|Game & Watch
lutro|Mame
lynx|Lynx
mame|Mame
mastersystem|Master System
megadrive|Megadrive
msx|MSX
msx1|MSX
msx2|MSX
n64|Nintendo 64
neogeo|Neo-Geo AES
nes|NES
ngp|Neo-Geo Pocket
ngpc|Neo-Geo Pocket Color
o2em|Videopac G7000
pcengine|PC Engine
pcenginecd|PC Engine CD-Rom
prboom|PC Dos
psx|Playstation
scummvm|ScummVM
sega32x|Megadrive 32X
segacd|Mega-CD
sg1000|SG-1000
snes|Super Nintendo
supergrafx|PC Engine SuperGrafx
vectrex|Vectrex
virtualboy|Virtual Boy
wswan|WonderSwan
wswanc|WonderSwan Color
zx81|ZX81
zxspectrum|ZX Spectrum
amiga|Amiga
apple2|Apple II
arcade|Mame
atari5200|Atari 5200
atari800|Atari 800
atarilynx|Lynx
c64|Commodore 64
colecovision|Colecovision
cps1|Mame
cps2|Mame
cps3|Mame
daphne|Daphne
dragon32|Dragon 32/64
dc|Dreamcast
dreamcast|Dreamcast
gamecube|Gamecube
genesis|Megadrive
mame-advmame|Mame
mame-libretro|Mame
mame-mame4all|Mame
odyssey2|Videopac G7000
psp|PSP
sg-1000|SG-1000
videopac|Videopac G7000
wii|Wii
wonderswan|WonderSwan
wonderswancolor|WonderSwan Color
